ticker,name,sector,industry,cik
AAPL,Apple Inc.,Technology,Consumer Electronics,320193
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,789019
NVDA,NVIDIA Corporation,Technology,Semiconductors,1045810
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,1018724
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1652044
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,1326801
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1067983
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,19617
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,731766
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,34088
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,80424
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,200406
ORCL,Oracle Corporation,Technology,Software - Infrastructure,1341439
HD,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,354950
NFLX,Netflix Inc.,Communication Services,Entertainment,1065280
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,70858
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,1551152
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,93410
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,21344
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,97745
LIN,Linde plc,Basic Materials,Specialty Chemicals,1707925
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,63908
CSCO,Cisco Systems Inc.,Technology,Communication Equipment,858877
GE,GE Aerospace,Industrials,Aerospace & Defense,40545
NKE,NIKE Inc.,Consumer Cyclical,Footwear & Accessories,320187
